link,title,OG price,DC price,Composition,GSM,Colour
https://www.bonkerscorner.com/product/ruby-striped-collared-full-sleeves-t-shirt/,Ruby Striped Collared Full Sleeves T-shirt,₹1499.00,₹999.00,100% premium cotton,250,
https://www.bonkerscorner.com/product/retro-rodeo-sweatshirt-2/,Retro Rodeo Sweatshirt,₹1599.00,"₹1,199.00",60% cotton 40% polyester,320,
https://www.bonkerscorner.com/product/signature-mint-sweatshirt-2/,Signature Mint Sweatshirt,₹1399.00,₹999.00,60% cotton 40% polyester,320,
https://www.bonkerscorner.com/product/raw-power-sweatshirt-2/,Raw Power Sweatshirt,₹1599.00,"₹1,199.00",60% cotton 40% polyester,380,
https://www.bonkerscorner.com/product/signature-baby-pink-sweatshirt-2/,Signature Baby Pink Sweatshirt,₹1399.00,₹999.00,60% cotton 40% polyester,320,
https://www.bonkerscorner.com/product/musty-plum-collared-full-sleeves-t-shirt/,Musty Plum Collared Full Sleeves T-shirt,₹1499.00,₹999.00,100% premium cotton,250,
https://www.bonkerscorner.com/product/sports-dept-oversized-t-shirt-2/,Sports Dept Oversized T-shirt,₹999.00,₹699.00,100% cotton,180,
https://www.bonkerscorner.com/product/coco-berry-oversized-shirt/,Coco Berry Oversized Shirt,₹1699.00,"₹1,199.00",100% cotton,200,
https://www.bonkerscorner.com/product/brown-plaid-oversized-shirt/,Brown Plaid Oversized Shirt,₹1699.00,"₹1,199.00",100% cotton,200,
https://www.bonkerscorner.com/product/aligator-oversized-t-shirt-2/,Alligator Faded Effect Oversized T-shirt,₹999.00,₹699.00,100% cotton,180,
https://www.bonkerscorner.com/product/blue-cereal-killer-oversized-tshirt/,Blue Cereal Killer Oversized T-shirt,₹999.00,₹699.00,100% cotton,180,
https://www.bonkerscorner.com/product/doggy-style-oversized-tshirt/,Doggystyle Oversized Tshirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/signature-cone-man-oversized-tshirt/,Signature Cone Man Oversized Tshirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/big-fish-oversized-tshirt/,Big Fish Faded Effect Oversized Tshirt,₹999.00,₹699.00,100% cotton,180,
https://www.bonkerscorner.com/product/red-cereal-killer-oversized-tshirt/,Red Cereal Killer Oversized T-shirt,₹999.00,₹699.00,100% cotton,180,
https://www.bonkerscorner.com/product/pirate-crew-oversized-tshirt/,Pirate Crew Oversized Tshirt,₹899.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/the-last-dragon-oversized-tshirt/,The Last Dragon Faded Effect Oversized Tshirt,₹999.00,₹699.00,100% cotton,180,
https://www.bonkerscorner.com/product/diesel-punk-oversized-tshirt/,Diesel Punk Oversized T-shirt,₹999.00,₹599.00,100% cotton,180,
https://www.bonkerscorner.com/product/goat-sweatshirt/,GOAT Faded Effect Oversized Sweatshirt,₹1499.00,"₹1,099.00",60% cotton 40% polyester,380,
https://www.bonkerscorner.com/product/signature-black-problem-child-oversized-tshirt/,Signature Black Problem Child Oversized Tshirt,₹949.00,₹649.00,100% cotton,180,
https://www.bonkerscorner.com/product/brown-fox-hoodie/,Brown Fox Hoodie,₹1999.00,"₹1,499.00",60% cotton 40% polyester,380,
https://www.bonkerscorner.com/product/moon-child-sweatshirt/,Moon Child Sweatshirt,₹1499.00,"₹1,099.00",60% cotton 40% polyester,380,
https://www.bonkerscorner.com/product/yolo-hoodie/,YOLO Hoodie,₹1999.00,"₹1,499.00",60% cotton 40% polyester,380,
https://www.bonkerscorner.com/product/signature-grey-on-black-sweatshirt-2/,Grey Doubled Coloured Signature Sweatshirt,₹1499.00,"₹1,099.00",60% cotton 40% polyester,380,
https://www.bonkerscorner.com/product/midnight-blue-signature-sweatshirt-2/,Midnight Blue Signature Sweatshirt,₹1499.00,"₹1,099.00",60% cotton 40% polyester,380,
https://www.bonkerscorner.com/product/wingman-sweatshirt/,Wingman Sweatshirt,₹1499.00,"₹1,099.00",60% cotton 40% polyester,380,
https://www.bonkerscorner.com/product/black-moon-child-sweatshirt/,Black Moon Child Sweatshirt,₹1499.00,"₹1,099.00",60% cotton 40% polyester,380,
https://www.bonkerscorner.com/product/orange-fallen-kings-oversized-t-shirt/,Orange Fallen Kings Oversized T-shirt,₹949.00,₹649.00,100% cotton,180,
https://www.bonkerscorner.com/product/prussian-mustard-checkered-plaid-oversized-shirt/,Prussian Mustard Checkered Plaid Oversized Shirt,₹1699.00,"₹1,199.00",100%  cotton,200,
https://www.bonkerscorner.com/product/main-character-sweatshirt-2/,Main Character Sweatshirt,₹1499.00,"₹1,099.00",60% cotton 40% polyester,380,
https://www.bonkerscorner.com/product/sandy-striped-heavyweight-oversized-t-shirt/,Sandy Striped Heavyweight Oversized T-Shirt,₹899.00,₹599.00,100% Cotton,210,
https://www.bonkerscorner.com/product/caffenication-oversized-t-shirt/,Caffeinication Oversized T-Shirt,₹999.00,₹599.00,100% premium cotton,180,
